127747202|5245697|245698|2|1|1642.43|0.09|0.08|N|O|1998-02-14|1998-02-09|1998-02-20|TAKE BACK RETURN|MAIL|hely unusual theod|
144558691|8792293|292294|1|14|19388.04|0.06|0.02|R|F|1994-04-19|1994-02-28|1994-05-08|COLLECT COD|AIR|ial deposits integrate. slyly ev|
228942724|44747|419748|4|5|8458.70|0.08|0.03|A|F|1992-10-08|1992-11-07|1992-11-01|NONE|FOB|. slyly regular deposits about the silen|
14686916|7112590|237605|5|24|38453.76|0.01|0.06|R|F|1994-01-01|1994-03-02|1994-01-08|TAKE BACK RETURN|MAIL| regular pinto beans boost. idly pending|
220547303|6466003|466004|2|44|42621.92|0.09|0.07|R|F|1992-05-07|1992-07-14|1992-05-08|DELIVER IN PERSON|TRUCK|usly blithe i|
48064226|6140776|390801|4|8|14531.76|0.08|0.02|R|F|1994-09-05|1994-11-03|1994-09-29|NONE|MAIL|se carefully ironic d|
72336418|5741124|491147|1|10|11648.40|0.09|0.08|N|O|1996-03-01|1996-03-27|1996-03-22|NONE|TRUCK|lyly even |
27866627|2226889|226890|1|50|90788.50|0.03|0.00|A|F|1992-12-15|1992-11-14|1992-12-19|NONE|AIR|ts cajole about the furi|
97710950|8161257|36306|7|40|52714.00|0.07|0.07|N|O|1996-10-31|1996-11-07|1996-11-16|DELIVER IN PERSON|SHIP|pinto beans are i|
224844870|4701953|451972|2|39|76234.08|0.07|0.06|R|F|1993-02-04|1993-03-17|1993-02-08|DELIVER IN PERSON|AIR|haggle slyly|
